CustomerID,Tenure_Months,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Complaints,CustomerSupportCalls,Churn
105,11,79.75,2701.92,Two Year,DSL,Mailed Check,2,8,No
106,59,98.38,4147.49,One Year,Fiber Optic,Bank Transfer,0,4,No
107,38,68.09,2268.14,One Year,No,Bank Transfer,4,2,No
108,5,24.08,4504.23,One Year,Fiber Optic,Bank Transfer,3,8,No
109,48,36.4,542.15,One Year,No,Electronic Check,1,8,No
110,18,63.86,4782.37,Month-to-Month,DSL,Electronic Check,3,3,No
111,70,92.48,3342.53,One Year,Fiber Optic,Mailed Check,3,3,No
112,37,79.33,2024.36,Month-to-Month,Fiber Optic,Mailed Check,4,7,No
113,60,85.03,1146.34,Month-to-Month,DSL,Electronic Check,3,1,No
114,48,67.93,2500.08,One Year,DSL,Credit Card,3,8,No
115,28,81.57,1133.88,Month-to-Month,DSL,Electronic Check,2,5,No
116,69,52.9,998.39,Two Year,Fiber Optic,Bank Transfer,4,8,No
117,40,67.02,3163.29,One Year,No,Electronic Check,0,7,No
118,45,94.43,2710.81,Month-to-Month,Fiber Optic,Bank Transfer,1,6,No
119,62,107.18,3416.46,One Year,No,Mailed Check,3,0,No
120,58,63.37,4662.11,One Year,Fiber Optic,Credit Card,1,2,No
121,67,24.37,2754.85,One Year,Fiber Optic,Mailed Check,0,1,No
122,56,36.17,2988.47,Month-to-Month,DSL,Bank Transfer,1,4,No
123,40,22.09,630.21,Two Year,No,Bank Transfer,0,4,No
124,40,85.33,3644.65,Two Year,Fiber Optic,Bank Transfer,2,4,No
125,33,53.23,2119.54,Month-to-Month,Fiber Optic,Credit Card,3,3,No
126,6,74.25,4888.28,One Year,DSL,Electronic Check,0,4,No
127,19,69.33,4151.24,Month-to-Month,DSL,Mailed Check,1,2,No
128,40,28.15,2707.91,Month-to-Month,No,Mailed Check,3,0,No
129,59,60.33,791.47,Month-to-Month,Fiber Optic,Electronic Check,2,4,No
130,59,42.06,4325.2,One Year,No,Mailed Check,3,8,No
131,48,61.84,4038.95,Month-to-Month,Fiber Optic,Credit Card,0,8,No
132,41,40.36,1086.01,One Year,No,Mailed Check,2,3,No
133,13,104.05,1617.34,Month-to-Month,DSL,Bank Transfer,1,2,No
134,45,37.42,4008.35,Two Year,Fiber Optic,Electronic Check,2,0,No
135,53,116.08,1089.1,Month-to-Month,No,Credit Card,2,1,No
136,42,61.59,4605.21,Month-to-Month,DSL,Electronic Check,4,7,No
137,63,104.62,2237.73,Two Year,DSL,Credit Card,2,0,No
138,27,82.88,617.79,One Year,No,Bank Transfer,2,7,No
139,38,93.54,4115.59,One Year,Fiber Optic,Electronic Check,3,6,No
140,60,96.77,1992.85,Month-to-Month,Fiber Optic,Mailed Check,1,7,No
141,7,70.48,2727.2,Two Year,DSL,Credit Card,3,5,No
142,5,74.33,739.06,One Year,Fiber Optic,Electronic Check,3,8,No
143,45,71.4,212.4,Month-to-Month,Fiber Optic,Mailed Check,0,2,No
144,58,78.81,3262.33,Two Year,Fiber Optic,Electronic Check,3,9,No
145,31,22.94,2672.84,One Year,DSL,Electronic Check,4,3,No
146,23,59.55,3048.99,One Year,No,Electronic Check,4,5,No
147,42,80.62,4009.97,Two Year,Fiber Optic,Credit Card,0,7,No
148,10,79.77,3303.71,Two Year,DSL,Mailed Check,1,4,No
149,32,99.3,1038.91,Two Year,DSL,Bank Transfer,1,2,No
150,53,85.5,1931.71,Two Year,No,Credit Card,3,5,No
151,30,119.21,4548.28,Month-to-Month,Fiber Optic,Credit Card,3,3,No
152,39,48.39,3895.73,Two Year,Fiber Optic,Credit Card,3,8,No
153,31,55.92,2871.86,One Year,No,Bank Transfer,1,2,No
154,2,58.38,1427.1,One Year,No,Mailed Check,2,3,No
155,12,66.58,1649.89,Month-to-Month,DSL,Mailed Check,4,6,No
156,39,103.6,3713.4,One Year,DSL,Mailed Check,2,6,No
157,66,43.58,4285.64,One Year,No,Electronic Check,2,3,No
158,13,97.6,3422.84,Two Year,Fiber Optic,Electronic Check,1,5,No
159,46,60.53,4085.74,One Year,DSL,Electronic Check,2,2,No
160,27,80.19,3879.95,Month-to-Month,DSL,Bank Transfer,0,5,No
161,17,83.25,918.58,Two Year,Fiber Optic,Electronic Check,3,1,No
162,60,57.28,2234.94,Two Year,DSL,Bank Transfer,0,7,No
163,64,71.26,934.32,Month-to-Month,Fiber Optic,Mailed Check,4,1,No
164,35,61.3,1329.13,Two Year,Fiber Optic,Electronic Check,3,6,No
165,70,26.91,4372.45,Two Year,Fiber Optic,Electronic Check,2,8,No
166,30,63.72,2469.88,Month-to-Month,No,Credit Card,4,0,No
167,71,29.74,2769.72,Two Year,No,Bank Transfer,3,7,No
168,63,60.5,1056.54,Month-to-Month,No,Mailed Check,2,6,No
169,28,79.29,1698.9,Month-to-Month,Fiber Optic,Credit Card,0,5,No
170,60,77.94,1305.18,One Year,Fiber Optic,Credit Card,3,5,No
171,37,86.26,1189.69,One Year,No,Mailed Check,2,5,No
172,22,29.53,3262.21,Two Year,DSL,Credit Card,0,8,No
173,68,85.21,1433.04,Two Year,Fiber Optic,Bank Transfer,4,1,No
174,20,51.21,3233.67,Month-to-Month,DSL,Bank Transfer,4,0,No
175,68,59.9,480.58,Two Year,DSL,Electronic Check,4,5,No
176,64,105.8,880.52,Month-to-Month,Fiber Optic,Credit Card,4,9,No
177,17,20.9,1517.79,Month-to-Month,Fiber Optic,Electronic Check,1,7,No
178,12,78.84,3065.83,Two Year,DSL,Credit Card,3,2,No
179,22,79.87,3444.04,Month-to-Month,DSL,Bank Transfer,3,9,No
180,17,59.67,2325.04,One Year,No,Bank Transfer,1,0,No
181,10,43.7,2339.8,Two Year,No,Bank Transfer,2,8,No
182,65,43.47,3677.68,One Year,Fiber Optic,Credit Card,2,0,No
183,22,108.37,275.94,Two Year,No,Bank Transfer,4,2,No
184,50,64.2,1837.23,Month-to-Month,No,Credit Card,0,7,No
185,14,53.09,4129.79,Two Year,No,Electronic Check,2,2,No
186,64,64.88,3095.45,One Year,No,Credit Card,0,3,No
187,47,86.94,1818.69,Month-to-Month,DSL,Electronic Check,3,7,No
188,29,34.58,4546.52,Two Year,Fiber Optic,Credit Card,0,0,No
189,36,64.94,3908.59,Two Year,No,Electronic Check,3,5,No
190,52,78.79,1471.5,Two Year,DSL,Bank Transfer,1,0,No
191,7,114.86,3297.39,One Year,DSL,Electronic Check,1,0,No
192,29,45.25,3059.6,One Year,DSL,Bank Transfer,4,7,No
193,11,55.93,2125.7,Two Year,No,Bank Transfer,2,3,No
194,33,57.94,1961.39,Month-to-Month,No,Electronic Check,4,0,No
195,6,80.55,1849.09,Month-to-Month,Fiber Optic,Credit Card,3,9,Yes
196,32,55.67,3162.35,One Year,No,Credit Card,4,6,No
197,51,73.35,2323.57,Month-to-Month,No,Mailed Check,0,4,No
198,58,98.18,4192.94,One Year,DSL,Credit Card,3,4,No
199,26,90.54,3414.09,Two Year,Fiber Optic,Mailed Check,1,0,No
200,46,64.64,535.67,One Year,No,Credit Card,2,9,No
