TransactionID,Category,Region,Season,Units_Sold,Unit_Price,Inventory_Days,Revenue,Cost,Profit
33,Home & Kitchen,East,Winter,11,286.7,28,3153.7,2039.0943490775064,1114.6056509224934
34,Electronics,South,Winter,29,36.44,42,1056.76,691.7323113546548,365.02768864534517
35,Groceries,West,Summer,36,23.23,39,836.28,717.9762237423553,118.3037762576447
36,Toys,North,Winter,25,71.26,53,1781.5000000000002,1574.5514087373201,206.9485912626801
37,Groceries,East,Summer,21,11.77,73,247.17,175.98325911145994,71.18674088854004
38,Toys,West,Winter,36,42.3,66,1522.8,1037.366996478901,485.43300352109895
39,Electronics,North,Fall,10,347.4,64,3474.0,2755.576323963702,718.4236760362978
40,Clothing,North,Fall,37,269.5,54,9971.5,7205.6078361314,2765.8921638685997
41,Home & Kitchen,South,Fall,9,376.21,82,3385.89,2057.3206223300413,1328.5693776699586
42,Electronics,East,Winter,24,457.02,79,10968.48,7094.914992347733,3873.565007652267
43,Home & Kitchen,East,Summer,35,294.65,13,10312.75,8402.742780913799,1910.007219086201
44,Clothing,South,Summer,49,364.43,38,17857.07,14244.177286609653,3612.892713390347
45,Clothing,South,Winter,35,379.76,80,13291.6,8083.00472818779,5208.595271812211
46,Electronics,East,Fall,48,192.04,39,9217.92,6144.588489277492,3073.331510722508
47,Clothing,East,Fall,36,124.34,5,4476.24,2996.0478742438163,1480.1921257561835
48,Toys,West,Summer,18,106.5,44,1917.0,1536.6055168436287,380.3944831563713
49,Clothing,West,Fall,49,129.46,68,6343.54,3843.634375399896,2499.905624600104
50,Home & Kitchen,South,Spring,39,140.99,26,5498.610000000001,3470.90174699586,2027.7082530041407
51,Home & Kitchen,West,Summer,32,107.58,64,3442.56,2891.663735658698,550.896264341302
52,Home & Kitchen,North,Fall,24,439.72,68,10553.28,6897.237543349428,3656.0424566505726
53,Home & Kitchen,West,Summer,23,379.71,76,8733.33,6950.192149825804,1783.1378501741956
54,Toys,West,Spring,32,28.21,15,902.72,606.1357080319503,296.5842919680497
55,Groceries,North,Summer,37,137.99,18,5105.63,3215.6912874341688,1889.9387125658313
56,Electronics,South,Summer,12,15.98,64,191.76,129.0452098038166,62.7147901961834
57,Home & Kitchen,North,Summer,49,251.59,34,12327.91,10067.95851956781,2259.95148043219
58,Clothing,West,Summer,13,240.72,39,3129.36,2680.950689829926,448.40931017007415
59,Home & Kitchen,South,Spring,23,416.53,89,9580.189999999999,8134.213213297814,1445.9767867021847
60,Clothing,West,Winter,25,157.35,41,3933.75,2828.976212890979,1104.7737871090212
61,Clothing,North,Summer,35,409.11,9,14318.85,11461.17325733538,2857.67674266462
62,Home & Kitchen,North,Summer,41,484.15,87,19850.149999999998,13130.780703494505,6719.3692965054925
63,Toys,West,Fall,30,48.76,82,1462.8,1006.3249499477431,456.47505005225685
64,Clothing,East,Summer,17,396.95,30,6748.15,5863.472566125988,884.6774338740115
65,Clothing,East,Fall,49,297.03,66,14554.47,8789.45283170379,5765.01716829621
66,Home & Kitchen,North,Winter,20,242.62,8,4852.4,3035.916478535466,1816.4835214645336
67,Clothing,North,Spring,48,213.17,46,10232.16,6777.4336273364925,3454.7263726635074
68,Clothing,East,Spring,25,393.41,22,9835.25,5979.435257444996,3855.814742555004
69,Home & Kitchen,East,Winter,22,321.48,44,7072.56,4628.499900239609,2444.0600997603915
70,Home & Kitchen,West,Spring,13,403.5,76,5245.5,4064.803352419956,1180.696647580044
71,Electronics,West,Winter,19,452.06,43,8589.14,6239.386339342815,2349.753660657185
72,Toys,East,Winter,49,310.55,18,15216.95,13205.292238161834,2011.657761838167
73,Toys,West,Winter,36,490.33,36,17651.88,14919.952697573868,2731.927302426133
74,Clothing,West,Spring,12,306.0,55,3672.0,2579.74599463038,1092.2540053696198
75,Toys,South,Fall,41,320.14,42,13125.74,8896.981361137936,4228.758638862064
76,Clothing,West,Winter,19,279.63,27,5312.97,3792.9703121461334,1519.9996878538668
77,Electronics,North,Summer,12,50.05,67,600.5999999999999,466.71934274231796,133.88065725768195
78,Home & Kitchen,West,Spring,9,364.57,19,3281.13,2232.5434961439496,1048.5865038560505
79,Home & Kitchen,West,Winter,7,275.99,29,1931.93,1520.901599862293,411.02840013770697
80,Home & Kitchen,East,Winter,28,228.2,21,6389.599999999999,4618.553007852344,1771.0469921476551
81,Toys,North,Summer,14,455.68,70,6379.52,4884.250809356648,1495.2691906433529
82,Electronics,West,Fall,31,152.49,82,4727.1900000000005,3454.8098901789535,1272.380109821047
83,Toys,West,Fall,19,264.18,57,5019.42,3455.0661968279674,1564.3538031720327
84,Toys,South,Fall,47,350.33,55,16465.51,14564.336223095537,1901.1737769044612
85,Electronics,West,Winter,16,399.25,43,6388.0,5296.174143927766,1091.8258560722343
86,Electronics,West,Winter,5,232.38,55,1161.9,745.9792496769124,415.92075032308765
87,Electronics,South,Winter,35,421.84,74,14764.4,12705.362575004141,2059.0374249958586
88,Electronics,East,Spring,12,385.61,10,4627.32,3453.042039685182,1174.2779603148178
89,Home & Kitchen,West,Summer,25,37.79,71,944.75,820.3884649074579,124.36153509254211
90,Groceries,South,Winter,21,27.7,11,581.6999999999999,488.60274071536594,93.09725928463399
91,Groceries,North,Summer,36,312.3,55,11242.800000000001,8179.85711641401,3062.942883585991
92,Electronics,East,Summer,23,176.97,76,4070.31,2469.6231151045367,1600.6868848954632
93,Groceries,North,Fall,16,108.52,46,1736.32,1181.7449617941807,554.5750382058193
94,Groceries,North,Spring,39,291.93,68,11385.27,8681.157532545578,2704.1124674544226
95,Electronics,South,Winter,45,174.07,19,7833.15,6188.528975289355,1644.6210247106446
96,Groceries,West,Fall,42,270.95,33,11379.9,7708.360821438389,3671.5391785616102
97,Toys,South,Fall,39,232.76,37,9077.64,5826.091281673929,3251.5487183260702
98,Clothing,South,Winter,14,294.46,31,4122.44,3506.048941617271,616.3910583827287
99,Clothing,South,Summer,31,203.15,40,6297.650000000001,5638.4161179923185,659.233882007682
100,Electronics,South,Fall,5,350.35,33,1751.75,1327.313333054619,424.4366669453809
101,Home & Kitchen,East,Summer,35,94.13,42,3294.5499999999997,2146.4117973574585,1148.1382026425413
102,Electronics,West,Spring,23,349.77,61,8044.709999999999,5484.016041817089,2560.69395818291
103,Home & Kitchen,North,Summer,29,208.77,31,6054.33,3666.0009674224875,2388.3290325775124
104,Clothing,North,Spring,43,437.79,59,18824.97,16458.47628136116,2366.4937186388415
105,Electronics,West,Summer,11,260.04,37,2860.44,1817.3099722626825,1043.1300277373175
106,Toys,North,Fall,18,486.69,72,8760.42,6771.409938727374,1989.0100612726264
107,Groceries,West,Fall,47,302.96,70,14239.119999999999,9714.163552197482,4524.956447802517
108,Home & Kitchen,North,Spring,12,115.81,14,1389.72,1064.8776760968744,324.8423239031256
109,Groceries,South,Winter,9,411.79,9,3706.11,2947.936684642418,758.1733153575819
110,Groceries,North,Spring,10,175.82,78,1758.1999999999998,1492.5756117834003,265.6243882165995
111,Electronics,West,Spring,44,177.07,42,7791.08,5157.12139259658,2633.9586074034196
112,Groceries,West,Summer,17,20.74,17,352.58,212.71107278052213,139.86892721947785
113,Toys,West,Summer,38,276.61,35,10511.18,6738.356849119994,3772.8231508800063
114,Groceries,West,Spring,7,269.54,51,1886.7800000000002,1641.5091519198506,245.27084808014956
115,Electronics,West,Fall,46,181.22,56,8336.12,7187.127766011131,1148.9922339888699
116,Toys,East,Summer,13,447.64,60,5819.32,4534.553404116516,1284.7665958834841
117,Clothing,East,Winter,40,68.73,19,2749.2000000000003,2144.80228581126,604.3977141887403
118,Groceries,North,Summer,42,168.4,33,7072.8,5654.781417519227,1418.0185824807731
119,Electronics,West,Summer,9,164.18,12,1477.6200000000001,964.3116326158745,513.3083673841256
120,Clothing,North,Winter,27,50.68,9,1368.36,1196.3894190977633,171.97058090223663
121,Clothing,West,Spring,2,243.17,33,486.34,352.9034571228033,133.4365428771967
122,Home & Kitchen,West,Winter,5,345.45,51,1727.25,1234.8828068756832,492.3671931243168
123,Toys,East,Spring,29,258.27,72,7489.83,5659.879618967566,1829.950381032434
124,Groceries,East,Spring,37,82.7,80,3059.9,1879.0533485204974,1180.8466514795027
125,Electronics,South,Spring,38,191.76,49,7286.879999999999,4735.6340862363895,2551.2459137636097
126,Home & Kitchen,East,Winter,19,6.28,6,119.32000000000001,98.01065133359836,21.309348666401647
127,Toys,South,Spring,8,434.81,31,3478.48,2173.4920531212583,1304.9879468787417
128,Home & Kitchen,South,Fall,48,46.84,40,2248.32,1755.815685226641,492.50431477335906
129,Toys,South,Winter,45,300.65,40,13529.249999999998,9113.366832646801,4415.883167353197
130,Toys,South,Fall,1,493.2,30,493.2,353.52017905365085,139.67982094634914
131,Groceries,South,Spring,22,270.61,47,5953.42,4087.666519909626,1865.753480090374
132,Toys,North,Summer,17,462.4,31,7860.799999999999,5555.241626876301,2305.5583731236984
133,Home & Kitchen,East,Spring,7,121.88,73,853.16,695.9343613400973,157.22563865990264
134,Toys,South,Fall,25,381.18,24,9529.5,6567.126416709313,2962.373583290687
135,Groceries,West,Fall,45,267.98,15,12059.1,9284.559059341294,2774.540940658706
136,Groceries,East,Winter,4,361.66,78,1446.64,1074.5860661511917,372.05393384880836
137,Home & Kitchen,East,Summer,36,35.86,42,1290.96,1031.6078782909692,259.3521217090308
138,Clothing,South,Winter,6,78.13,10,468.78,413.018113560198,55.76188643980197
139,Clothing,North,Fall,31,70.89,76,2197.59,1801.5219345324824,396.0680654675177
140,Toys,South,Spring,19,345.15,27,6557.849999999999,4357.574028522417,2200.275971477582
141,Electronics,North,Summer,44,423.0,51,18612.0,11341.314152928187,7270.6858470718125
142,Toys,West,Spring,39,376.06,50,14666.34,9953.740093042888,4712.599906957112
143,Home & Kitchen,East,Spring,27,20.08,16,542.16,422.084235272535,120.07576472746496
144,Home & Kitchen,West,Summer,10,434.27,17,4342.7,2672.618064065416,1670.0819359345837
145,Home & Kitchen,North,Winter,26,180.3,66,4687.8,3510.739708088987,1177.0602919110133
146,Home & Kitchen,North,Spring,19,201.6,86,3830.4,2984.084054547376,846.315945452624
147,Home & Kitchen,West,Fall,39,56.91,64,2219.49,1554.249291968801,665.2407080311989
148,Groceries,North,Spring,3,370.02,47,1110.06,922.7636402670261,187.29635973297388
149,Clothing,West,Summer,45,95.23,80,4285.35,2708.253247220043,1577.0967527799576
150,Home & Kitchen,East,Summer,13,284.16,72,3694.0800000000004,2299.717493026385,1394.3625069736154
151,Electronics,West,Summer,28,421.15,9,11792.199999999999,9651.404235271239,2140.7957647287603
152,Electronics,East,Winter,20,49.16,41,983.1999999999999,736.0701186281802,247.1298813718197
153,Electronics,West,Spring,28,269.99,76,7559.72,6097.070809296805,1462.649190703195
154,Electronics,North,Winter,8,120.44,35,963.52,703.8014511874445,259.71854881255547
155,Groceries,West,Winter,41,174.75,13,7164.75,4828.472690294968,2336.277309705032
156,Electronics,North,Summer,39,239.62,55,9345.18,7903.505579124774,1441.6744208752261
157,Home & Kitchen,West,Summer,1,180.78,33,180.78,151.82352078000363,28.956479219996368
158,Toys,West,Winter,3,326.17,82,978.51,791.0362331087296,187.47376689127043
159,Electronics,South,Spring,13,242.39,44,3151.0699999999997,2147.9065132713654,1003.1634867286343
160,Groceries,North,Fall,28,294.18,45,8237.04,6400.750083668204,1836.289916331797
161,Groceries,South,Winter,49,369.73,15,18116.77,12831.966320059852,5284.803679940149
162,Electronics,North,Spring,25,281.08,27,7027.0,4409.264168779877,2617.735831220123
163,Toys,South,Summer,33,295.34,5,9746.22,8529.833974632485,1216.3860253675139
164,Electronics,East,Summer,38,284.41,50,10807.580000000002,6928.151489744146,3879.428510255856
165,Groceries,West,Spring,6,192.49,25,1154.94,1022.2041388265393,132.73586117346076
166,Clothing,North,Fall,44,172.04,40,7569.759999999999,5554.7029979718645,2015.0570020281348
167,Home & Kitchen,North,Summer,45,450.33,58,20264.85,13284.41730989259,6980.432690107409
168,Groceries,West,Summer,32,305.74,61,9783.68,7460.743638254009,2322.9363617459912
169,Electronics,North,Summer,45,125.95,5,5667.75,4884.941628386554,782.8083716134461
170,Home & Kitchen,North,Spring,47,251.63,67,11826.61,9693.887449158055,2132.722550841945
171,Electronics,South,Winter,21,168.52,58,3538.92,2979.6586132169527,559.2613867830473
172,Electronics,North,Summer,16,467.18,59,7474.88,5962.225983647582,1512.6540163524178
173,Clothing,East,Winter,21,8.73,44,183.33,148.07251877191737,35.25748122808264
174,Home & Kitchen,East,Fall,11,116.54,19,1281.94,1095.7493620702937,186.19063792970633
175,Home & Kitchen,West,Summer,37,185.85,25,6876.45,4640.918873855924,2235.5311261440756
176,Clothing,North,Summer,36,246.47,51,8872.92,6626.540564522548,2246.379435477452
177,Groceries,West,Fall,35,426.15,77,14915.25,9938.968238129946,4976.281761870054
178,Electronics,East,Summer,19,48.5,57,921.5,825.940820810673,95.55917918932698
179,Toys,North,Winter,20,403.9,13,8078.0,7134.633403796539,943.3665962034611
180,Electronics,North,Spring,18,32.55,78,585.9,358.4700506342422,227.42994936575775
181,Electronics,West,Winter,47,421.95,56,19831.649999999998,16096.805961006225,3734.844038993773
182,Groceries,East,Spring,41,30.56,61,1252.96,1099.5657395367398,153.39426046326025
183,Electronics,North,Spring,49,14.03,30,687.4699999999999,449.72403975440636,237.74596024559355
184,Clothing,West,Winter,14,350.0,45,4900.0,3774.8794889123656,1125.1205110876344
185,Clothing,East,Winter,15,498.64,39,7479.599999999999,6542.005881191854,937.5941188081451
186,Home & Kitchen,West,Winter,31,448.82,67,13913.42,8489.743397212567,5423.676602787433
187,Toys,South,Winter,1,290.12,29,290.12,234.77267038009595,55.34732961990406
188,Electronics,North,Fall,3,459.11,79,1377.33,949.2623124973305,428.0676875026694
189,Electronics,South,Summer,16,7.62,42,121.92,106.96271524209199,14.957284757908013
190,Groceries,East,Spring,23,487.66,6,11216.18,9997.177220477668,1219.0027795223323
191,Clothing,South,Winter,11,247.92,11,2727.12,2408.810408337308,318.3095916626917
192,Toys,South,Winter,12,362.83,86,4353.96,3231.788919227379,1122.1710807726208
193,Home & Kitchen,East,Winter,10,411.33,38,4113.3,3531.732010894303,581.567989105697
194,Clothing,West,Fall,32,360.64,21,11540.48,9848.239632841802,1692.2403671581978
195,Home & Kitchen,South,Winter,16,269.84,47,4317.44,3003.773144159808,1313.6668558401916
196,Groceries,West,Winter,8,240.93,63,1927.44,1635.7694524490944,291.67054755090567
197,Groceries,South,Winter,38,420.1,55,15963.800000000001,9755.514743721355,6208.285256278647
198,Electronics,West,Summer,12,106.51,58,1278.1200000000001,995.5033371256445,282.6166628743556
199,Toys,East,Fall,24,484.16,28,11619.84,7773.7037663607425,3846.1362336392576
200,Home & Kitchen,South,Winter,28,356.92,29,9993.76,6357.730956121661,3636.0290438783395
